title,console,media_type,platform,players
TES V: Skyrim,PlayStation 4,Digital,PlayStation Network,Single Player
TES IV: Oblivion,PC,Digital,Steam,Single Player
Horizon Zero Dawn,PlayStation 4,Digital,PlayStation Network,Single Player
Borderlands,PlayStation 4,Digital,PlayStation Network,Cooperative
Borderlands II,PlayStation 4,Digital,PlayStation Network,Cooperative
Borderlands III,PlayStation 4,Disc,PlayStation Network,Cooperative
Spiderman,PlayStation 4,Disc,PlayStation Network,Single Player
Ghost Recon: Wildlands,PC,Digital,Ubisoft Connect,Cooperative
Rainbow Six: Seige,PC,Disc,Ubisoft Connect,Cooperative
God of War,PlayStation 4,Disc,PlayStation Network,Single Player
The Sims 4,PC,Digital,Origin,Single Player
The Sims 3,PC,Digital,Origin,Single Player
Grand Theft Auto 5,PC,Digital,Epic,Cooperative
MetalGear Solid,PC,Digital,GOG,Single Player
MetalGear Solid 2,PC,Digital,GOG,Single Player
Call of Duty WWII,PlayStation 4,Disc,PlayStation Network,Cooperative
Fallout 4,PlayStation 4,Digital,PlayStation Network,Single Player
GolfIt,PC,Digital,Steam,Cooperative
Among Us,PC,Digital,Steam,Cooperative
Insurgency: Sandstorm,PC,Digital,Steam,Cooperative
Horizon Forbidden West,PlayStation 5,Disc,PlayStation Network,Single Player
Spiderman 2,PlayStation 5,Disc,PlayStation Network,Single Player
Pac-Man,Atari,Cartridge,,Single Player
Asteroids,Atari 2600,Cartridge,,Single Player
"Let's Go, Eevee!",Switch,Cartridge,Nintendo Switch Online,Single Player
The Legend of Zelda: Breath of the Wild,Switch,Cartridge,Nintendo Switch Online,Single Player
